id,process_id,company,pankou,chupan_bigball_rating,chupan_pankou,chupan_smallball_rating,instant_bigball_rating,instant_pankou,instant_smallball_rating
894,91,韦德,盘口2,1.20,2.5,0.75,1.20,2.5,0.73
895,91,韦德,盘口3,0.65,2,1.35,0.67,2,1.30
896,91,明陞,盘口1,1.05,2.5,0.85,0.95,2/2.5,0.95
897,91,明陞,盘口2,1.30,2.5,0.67,1.30,2.5,0.67
898,91,10BET,盘口1,1.03,2.5,0.84,0.94,2/2.5,0.91
899,91,10BET,盘口2,1.10,2.5,0.74,1.25,2.5,0.65
900,91,10BET,盘口3,0.60,2,1.34,0.60,2,1.34
901,91,10BET,盘口4,1.52,2.5/3,0.52,1.52,2.5/3,0.52
902,91,金宝博,盘口1,1.13,2.5,0.78,0.96,2/2.5,0.94
903,91,金宝博,盘口2,1.21,2.5,0.72,1.25,2.5,0.70
904,91,金宝博,盘口3,0.68,2,1.28,0.68,2,1.28
905,91,金宝博,盘口4,0.94,2.5,0.96,0.94,2.5,0.96
906,91,金宝博,盘口5,0.94,2.5,0.96,0.94,2.5,0.96
907,91,12bet,盘口1,1.05,2.5,0.85,0.95,2/2.5,0.95
908,91,12bet,盘口2,1.30,2.5,0.67,1.30,2.5,0.67
909,91,利记,盘口1,1.08,2.5,0.82,0.98,2/2.5,0.92
910,91,利记,盘口2,0.98,2/2.5,0.92,1.25,2.5,0.70
911,91,盈禾,盘口1,1.09,2.5,0.78,0.96,2/2.5,0.91
912,91,盈禾,盘口2,1.17,2.5,0.72,1.20,2.5,0.70
913,91,盈禾,盘口3,0.68,2,1.24,0.68,2,1.24
914,91,盈禾,盘口4,0.68,2,1.24,0.68,2,1.24
915,91,18Bet,盘口1,1.18,2.5,0.75,0.95,2/2.5,0.93
916,91,18Bet,盘口2,1.23,2.5,0.71,1.26,2.5,0.69
917,91,18Bet,盘口3,0.68,2,1.25,0.68,2,1.28
918,91,立博,盘口1,1.15,2.5,0.67,1.25,2.5,0.62
919,91,立博,盘口2,0.36,1.5,2.00,0.40,1.5,1.88
920,91,立博,盘口3,2.90,3.5,0.25,3.20,3.5,0.22
921,91,立博,盘口4,0.08,0.5,8.00,0.08,0.5,7.00
922,92,ManbetX,盘口1,1.11,2/2.5,0.80,1.11,2/2.5,0.80
923,92,ManbetX,盘口2,0.78,2,1.13,0.78,2,1.13
924,92,ManbetX,盘口3,1.38,2.5,0.62,1.38,2.5,0.62
925,92,Crown,盘口1,1.06,2/2.5,0.80,1.06,2/2.5,0.80
926,92,Crown,盘口2,0.77,2,1.09,1.33,2.5,0.61
927,92,Crown,盘口3,0.77,2,1.09,0.77,2,1.09
928,92,Bet365,盘口1,1.08,2/2.5,0.82,1.07,2/2.5,0.83
929,92,韦德,盘口1,0.80,2,1.10,1.10,2/2.5,0.80
930,92,韦德,盘口2,1.12,2/2.5,0.80,0.80,2,1.12
931,92,韦德,盘口3,0.60,1.5/2,1.45,0.60,1.5/2,1.45
932,92,明陞,盘口1,1.00,2/2.5,0.90,1.06,2/2.5,0.84
933,92,明陞,盘口2,0.75,2,1.18,0.75,2,1.18
934,92,10BET,盘口1,0.98,2/2.5,0.87,1.06,2/2.5,0.80
935,92,10BET,盘口2,0.70,2,1.15,0.74,2,1.09
936,92,10BET,盘口3,0.57,1.5/2,1.41,0.57,1.5/2,1.41
937,92,10BET,盘口4,1.43,2.5,0.56,1.42,2.5,0.56
938,92,金宝博,盘口1,1.07,2/2.5,0.83,1.11,2/2.5,0.80
939,92,金宝博,盘口2,0.78,2,1.13,0.78,2,1.13
940,92,金宝博,盘口3,1.42,2.5,0.60,1.38,2.5,0.62
941,92,12bet,盘口1,1.00,2/2.5,0.90,1.06,2/2.5,0.84
942,92,12bet,盘口2,0.75,2,1.18,0.75,2,1.18
943,92,利记,盘口1,1.05,2/2.5,0.85,1.05,2/2.5,0.85
944,92,利记,盘口2,0.78,2,1.13,0.78,2,1.13
945,92,盈禾,盘口1,1.04,2/2.5,0.83,1.07,2/2.5,0.80
946,92,盈禾,盘口2,0.78,2,1.10,0.78,2,1.10
947,92,盈禾,盘口3,1.38,2.5,0.59,1.35,2.5,0.61
948,92,盈禾,盘口4,1.35,2.5,0.61,1.35,2.5,0.61
949,92,18Bet,盘口1,1.06,2/2.5,0.85,1.07,2/2.5,0.83
950,92,18Bet,盘口2,0.78,2,1.11,0.77,2,1.15
951,92,18Bet,盘口3,1.38,2.5,0.60,1.38,2.5,0.62
952,92,立博,盘口1,1.15,2.5,0.67,1.35,2.5,0.57
953,92,立博,盘口2,0.36,1.5,2.00,0.44,1.5,1.70
954,92,立博,盘口3,2.90,3.5,0.25,3.50,3.5,0.20
955,92,立博,盘口4,0.08,0.5,8.00,0.09,0.5,6.50
956,93,ManbetX,盘口1,1.01,2/2.5,0.89,1.04,2/2.5,0.86
957,93,ManbetX,盘口2,0.71,2,1.23,0.71,2,1.23
958,93,Crown,盘口1,1.00,2/2.5,0.86,1.00,2/2.5,0.86
959,93,Crown,盘口2,0.70,2,1.19,0.70,2,1.19
960,93,Bet365,盘口1,1.01,2/2.5,0.89,1.02,2/2.5,0.88
961,93,韦德,盘口1,1.02,2/2.5,0.89,1.02,2/2.5,0.88
962,93,韦德,盘口2,0.73,2,1.22,0.73,2,1.20
963,93,韦德,盘口3,1.30,2.5,0.67,1.30,2.5,0.67
964,93,明陞,盘口1,1.00,2/2.5,0.90,1.00,2/2.5,0.90
965,93,10BET,盘口1,0.98,2/2.5,0.87,1.00,2/2.5,0.86
966,93,10BET,盘口2,0.71,2,1.13,0.71,2,1.13
967,93,10BET,盘口3,1.32,2.5,0.61,1.32,2.5,0.61
968,93,10BET,盘口4,0.52,1.5/2,1.52,0.52,1.5/2,1.52
969,93,金宝博,盘口1,1.01,2/2.5,0.89,1.04,2/2.5,0.86
970,93,金宝博,盘口2,0.71,2,1.23,0.71,2,1.23
971,93,12bet,盘口1,1.00,2/2.5,0.90,1.00,2/2.5,0.90
972,93,利记,盘口1,1.03,2/2.5,0.87,1.03,2/2.5,0.87
973,93,盈禾,盘口1,1.01,2/2.5,0.86,1.01,2/2.5,0.86
974,93,盈禾,盘口2,0.71,2,1.19,0.71,2,1.19
975,93,18Bet,盘口1,1.00,2/2.5,0.90,1.01,2/2.5,0.87
976,93,18Bet,盘口2,0.71,2,1.20,0.71,2,1.23
977,93,立博,盘口1,1.30,2.5,0.60,1.30,2.5,0.60
978,93,立博,盘口2,0.44,1.5,1.80,0.44,1.5,1.80
979,93,立博,盘口3,3.33,3.5,0.22,3.33,3.5,0.22
980,93,立博,盘口4,0.09,0.5,7.00,0.09,0.5,7.00
981,94,ManbetX,盘口1,0.97,2/2.5,0.93,0.95,2/2.5,0.95
982,94,ManbetX,盘口2,1.25,2.5,0.70,1.23,2.5,0.71
983,94,Crown,盘口1,0.96,2/2.5,0.90,0.94,2/2.5,0.92
984,94,Crown,盘口2,1.23,2.5,0.67,1.19,2.5,0.70
985,94,Bet365,盘口1,0.96,2/2.5,0.94,0.96,2/2.5,0.94
986,94,韦德,盘口1,0.95,2/2.5,0.91,0.95,2/2.5,0.92
987,94,韦德,盘口2,1.22,2.5,0.70,1.22,2.5,0.70
988,94,韦德,盘口3,0.67,2,1.30,0.67,2,1.28
989,94,明陞,盘口1,0.95,2/2.5,0.95,0.95,2/2.5,0.95
990,94,10BET,盘口1,0.92,2/2.5,0.92,0.95,2/2.5,0.90
991,94,10BET,盘口2,0.67,2,1.21,0.67,2,1.21
992,94,10BET,盘口3,1.26,2.5,0.64,1.26,2.5,0.64
993,94,10BET,盘口4,0.50,1.5/2,1.60,0.50,1.5/2,1.60
994,94,金宝博,盘口1,0.97,2/2.5,0.93,0.95,2/2.5,0.95
995,94,金宝博,盘口2,1.28,2.5,0.68,1.23,2.5,0.71
996,94,12bet,盘口1,0.95,2/2.5,0.95,0.95,2/2.5,0.95
997,94,利记,盘口1,0.97,2/2.5,0.93,0.97,2/2.5,0.93
998,94,盈禾,盘口1,0.97,2/2.5,0.90,0.95,2/2.5,0.92
999,94,盈禾,盘口2,1.25,2.5,0.67,1.20,2.5,0.70
1000,94,18Bet,盘口1,0.95,2/2.5,0.95,0.95,2/2.5,0.93
1001,94,18Bet,盘口2,1.25,2.5,0.68,1.23,2.5,0.71
1002,94,立博,盘口1,1.25,2.5,0.62,1.25,2.5,0.62
1003,94,立博,盘口2,0.40,1.5,1.90,0.40,1.5,1.90
1004,94,立博,盘口3,3.20,3.5,0.22,3.20,3.5,0.22
1005,94,立博,盘口4,0.08,0.5,7.50,0.05,0.5,11.00
1006,95,韦德,盘口1,1.06,2.5,0.85,0.83,2/2.5,1.08
1007,95,韦德,盘口2,0.80,2/2.5,1.10,1.08,2.5,0.80
1008,95,韦德,盘口3,1.35,2.5/3,0.65,0.58,2,1.50
1009,96,韦德,盘口1,0.91,2/2.5,0.98,0.91,2/2.5,0.98
1010,96,韦德,盘口2,1.18,2.5,0.75,1.15,2.5,0.75
1011,96,韦德,盘口3,0.62,2,1.40,0.62,2,1.38
