67,2015-06-22,巴  西,委内瑞,美洲杯,-1.0,1.55,3.71,6.71,2.5,2,1,2,2.5,3,1,5
68,2015-06-18,巴  西,哥伦比,美洲杯,-0.5,1.99,3.33,3.76,2.5,0,1,0,2.5,1,-1,2
69,2015-06-15,巴  西,秘  鲁,美洲杯,-1.25,1.33,4.86,9.36,2.75,2,1,2,2.5/3,3,1,5
70,2015-06-11,巴  西,洪都拉,友谊赛,-2.5,1.11,8.26,18.11,3.25,1,0,2,3/3.5,1,1,1
71,2015-06-08,巴  西,墨西哥,友谊赛,-1.25,1.41,4.36,7.27,2.5,2,0,2,2.5,2,2,4
72,2015-03-29,巴  西,智  利,友谊赛,-0.75,1.66,3.75,4.8,2.5,1,0,2,2.5,1,1,1
73,2014-10-11,巴  西,阿根廷,友谊赛,0.0,2.85,3.29,2.35,2.75,2,0,2,2.5/3,2,2,4
74,2014-09-10,巴  西,厄瓜多,友谊赛,-1.0,1.4,4.35,7.03,2.5,1,0,2,2.5,1,1,1
75,2014-09-06,巴  西,哥伦比,友谊赛,-0.25,2.13,3.28,3.24,2.5,1,0,2,2.5,1,1,1
76,2014-07-13,巴  西,荷  兰,世界杯,-0.25,2.19,3.59,3.12,2.75,0,3,0,2.5/3,3,-3,12
77,2014-07-09,巴  西,德  国,世界杯,0.0,2.68,3.14,2.76,2.25,1,7,0,2/2.5,8,-6,25
78,2014-07-05,巴  西,哥伦比,世界杯,-0.75,1.79,3.59,4.55,2.25,2,1,2,2/2.5,3,1,5
79,2014-06-28,巴  西,智  利,世界杯,-1.0,1.52,4.27,6.1,2.75,1,1,1,2.5/3,2,0,3
80,2014-06-24,巴  西,喀麦隆,世界杯,-2.5,1.12,8.53,19.89,3.5,4,1,2,3.5,5,3,17
81,2014-06-18,巴  西,墨西哥,世界杯,-1.25,1.32,5.19,9.26,3.0,0,0,1,3,0,0,0
82,2014-06-13,巴  西,克罗地,世界杯,-1.5,1.29,5.05,11.13,2.5,3,1,2,2.5,4,2,10
83,2014-06-07,巴  西,塞尔维,友谊赛,-1.75,1.2,6.06,11.83,3.0,1,0,2,3,1,1,1
84,2014-06-04,巴  西,巴拿马,友谊赛,-2.5,1.08,9.76,23.5,3.75,4,0,2,3.5/4,4,4,16
85,2013-11-20,巴  西,智  利,友谊赛,-1.0,1.53,3.96,5.55,3.0,2,1,2,3,3,1,5
86,2013-11-17,巴  西,洪都拉,友谊赛,-2.0,1.17,6.62,13.29,3.25,5,0,2,3/3.5,5,5,25
87,2013-10-15,巴  西,赞比亚,友谊赛,-2.75,1.05,11.72,28.31,3.75,2,0,2,3.5/4,2,2,4
88,2013-09-11,巴  西,葡萄牙,友谊赛,-1.0,1.57,3.81,5.45,2.75,3,1,2,2.5/3,4,2,10
89,2013-09-08,巴  西,澳大利,友谊赛,-2.0,1.16,6.62,13.99,3.0,6,0,2,3,6,6,25
90,2013-07-01,巴  西,西班牙,联合会杯,0.0,2.57,3.2,2.68,2.75,3,0,2,2.5/3,3,3,9
91,2013-06-27,巴  西,乌拉圭,联合会杯,-1.25,1.35,4.79,7.83,3.0,2,1,2,3,3,1,5
92,2013-06-23,巴  西,意大利,联合会杯,-1.0,1.63,3.67,5.22,2.5,4,2,2,2.5,6,2,18
93,2013-06-20,巴  西,墨西哥,联合会杯,-1.5,1.33,4.73,8.5,2.75,2,0,2,2.5/3,2,2,4
94,2013-06-16,巴  西,日 本,联合会杯,-1.5,1.28,5.16,9.7,3.0,3,0,2,3,3,3,9
95,2013-06-10,巴  西,法 国,友谊赛,-0.75,1.62,3.6,5.29,2.5,3,0,2,2.5,3,3,9
96,2013-06-03,巴  西,英格兰,友谊赛,-1.0,1.53,3.9,5.66,2.75,2,2,1,2.5/3,4,0,8
97,2013-03-26,巴  西,俄罗斯,友谊赛,-1.0,1.56,3.81,5.51,2.5,1,1,1,2.5,2,0,3
98,2013-03-22,巴  西,意大利,友谊赛,-0.5,2.02,3.27,3.52,2.25,2,2,1,2/2.5,4,0,8
99,2012-11-15,巴  西,哥伦比,友谊赛,-0.75,1.6,3.72,5.16,2.75,1,1,1,2.5/3,2,0,3
100,2018-06-12,比利时,哥斯达,友谊赛,-1.75,1.21,5.88,14.41,2.75,4,1,2,2.5/3,5,3,17
101,2018-06-07,比利时,埃  及,友谊赛,-1.75,1.24,5.41,13.01,2.5,3,0,2,2.5,3,3,9
102,2018-06-03,比利时,葡萄牙,友谊赛,-0.75,1.67,3.77,5.02,2.5,0,0,1,2.5,0,0,0
103,2018-03-28,比利时,沙  特,友谊赛,-2.5,1.08,9.71,29.04,3.25,4,0,2,3/3.5,4,4,16
104,2017-11-15,比利时,日 本,友谊赛,-1.5,1.29,5.5,8.89,3.25,1,0,2,3/3.5,1,1,1
105,2017-11-11,比利时,墨西哥,友谊赛,-1.25,1.45,4.44,6.3,3.0,3,3,1,3,6,0,15
106,2017-10-11,比利时,塞浦路,世外欧洲,-2.75,1.07,11.4,30.79,3.75,4,0,2,3.5/4,4,4,16
107,2017-09-01,比利时,直布罗,世外欧洲,-6.5,1.01,30.74,68.09,7.0,9,0,2,7,9,9,25
108,2017-06-06,比利时,捷  克,友谊赛,-1.5,1.35,4.92,8.16,3.0,2,1,2,3,3,1,5
109,2017-03-26,比利时,希  腊,世外欧洲,-1.5,1.28,5.31,11.26,2.5,1,1,1,2.5,2,0,3
110,2016-11-14,比利时,爱沙尼,世外欧洲,-3.0,1.04,13.73,44.69,3.75,8,1,2,3.5/4,9,7,25
111,2016-10-08,比利时,波  黑,世外欧洲,-1.0,1.51,4.21,6.35,2.75,4,0,2,2.5/3,4,4,16
112,2016-09-02,比利时,西班牙,友谊赛,0.0,2.6,3.15,2.73,2.25,0,2,0,2/2.5,2,-2,6
113,2016-06-18,比利时,爱尔兰,欧洲杯,-0.5,1.81,3.42,4.98,2.25,3,0,2,2/2.5,3,3,9
114,2016-06-14,比利时,意大利,欧洲杯,0.0,2.6,3.0,3.02,2.0,0,2,0,2,2,-2,6
115,2016-06-05,比利时,挪  威,友谊赛,-1.25,1.36,4.67,8.23,2.75,3,2,2,2.5/3,5,1,11
116,2016-06-02,比利时,芬  兰,友谊赛,-1.75,1.22,5.95,13.06,2.75,1,1,1,2.5/3,2,0,3
117,2015-11-14,比利时,意大利,友谊赛,-0.25,2.21,3.18,3.3,2.25,3,1,2,2/2.5,4,2,10
118,2015-10-14,比利时,以色列,欧洲杯,-1.5,1.31,5.17,9.26,2.75,3,1,2,2.5/3,4,2,10
119,2015-09-04,比利时,波  黑,欧洲杯,-1.0,1.49,4.09,6.48,2.5,3,1,2,2.5,4,2,10
120,2015-03-29,比利时,塞浦路,欧洲杯,-2.5,1.1,8.99,23.48,3.25,5,0,2,3/3.5,5,5,25
121,2014-11-17,比利时,威尔士,欧洲杯,-1.25,1.32,4.86,9.48,2.5,0,0,1,2.5,0,0,0
122,2014-11-13,比利时,冰  岛,友谊赛,-1.25,1.38,4.44,7.78,2.5,3,1,2,2.5,4,2,10
123,2014-10-11,比利时,安道尔,欧洲杯,-4.0,1.01,19.29,45.64,4.5,6,0,2,4.5,6,6,25
124,2014-09-05,比利时,澳大利,友谊赛,-1.25,1.39,4.43,7.25,2.75,2,0,2,2.5/3,2,2,4
125,2014-07-02,比利时,美  国,世界杯,-0.5,1.98,3.33,3.98,2.25,0,0,1,2/2.5,0,0,0
126,2014-06-22,比利时,俄罗斯,世界杯,-0.25,2.12,3.29,3.55,2.25,1,0,2,2/2.5,1,1,1
127,2014-06-17,比利时,阿尔及,世界杯,-1.5,1.35,4.85,8.91,2.75,2,1,2,2.5/3,3,1,5
128,2014-06-08,比利时,突尼斯,友谊赛,-1.5,1.25,5.33,11.06,2.75,1,0,2,2.5/3,1,1,1
129,2014-05-27,比利时,卢森堡,友谊赛,-3.25,1.04,12.19,31.24,4.25,5,1,2,4/4.5,6,4,25
130,2014-03-06,比利时,科特迪,友谊赛,-0.5,1.67,3.66,4.79,2.5,2,2,1,2.5,4,0,8
131,2013-11-20,比利时,日 本,友谊赛,-1.0,1.63,3.68,5.05,2.5,2,3,0,2.5,5,-1,14
132,2013-11-15,比利时,哥伦比,友谊赛,-0.25,1.92,3.36,3.75,2.25,0,2,0,2/2.5,2,-2,6
133,2013-10-16,比利时,威尔士,世外欧洲,-2.0,1.17,6.64,14.08,3.0,1,1,1,3,2,0,3
134,2013-08-15,比利时,法 国,友谊赛,-0.25,2.34,3.17,2.89,2.25,0,0,1,2/2.5,0,0,0
135,2013-06-08,比利时,塞尔维,世外欧洲,-1.0,1.53,3.8,6.03,2.5,2,1,2,2.5,3,1,5
136,2013-03-27,比利时,马其顿,世外欧洲,-1.75,1.19,5.92,13.57,2.5,1,0,2,2.5,1,1,1
137,2013-02-07,比利时,斯洛伐,友谊赛,-1.0,1.51,3.8,6.29,2.25,2,1,2,2/2.5,3,1,5
138,2012-10-17,比利时,苏格兰,世外欧洲,-1.25,1.35,4.54,8.83,2.5,2,0,2,2.5,2,2,4
139,2012-09-12,比利时,克罗地,世外欧洲,-0.5,1.96,3.28,3.68,2.25,1,1,1,2/2.5,2,0,3
140,2012-08-16,比利时,荷  兰,友谊赛,0.25,3.08,3.23,2.21,2.5,4,2,2,2.5,6,2,18
141,2012-05-26,比利时,黑  山,友谊赛,-0.75,1.57,3.64,5.67,2.5,2,2,1,2.5,4,0,8
142,2011-11-12,比利时,罗马尼,友谊赛,-0.5,1.68,3.47,4.77,2.25,2,1,2,2/2.5,3,1,5
143,2011-10-08,比利时,哈萨克,欧洲杯,-2.25,1.08,8.54,21.43,3.25,4,1,2,3/3.5,5,3,17
144,2011-09-07,比利时,美  国,友谊赛,-0.75,1.99,3.23,3.52,2.25,1,0,2,2/2.5,1,1,1
145,2011-06-04,比利时,土耳其,欧洲杯,-0.25,2.17,3.23,3.11,2.5,1,1,1,2.5,2,0,3
146,2011-03-30,比利时,阿塞拜,欧洲杯,-1.75,1.18,5.97,14.12,2.75,4,1,2,2.5/3,5,3,17
147,2011-02-10,比利时,芬  兰,友谊赛,-1.0,1.56,3.64,5.45,2.5,1,1,1,2.5,2,0,3
148,2010-10-13,比利时,奥地利,欧洲杯,-0.75,1.74,3.4,4.56,2.25,4,4,1,2/2.5,8,0,24
149,2010-09-04,比利时,德  国,欧洲杯,0.75,5.57,3.65,1.56,2.75,0,1,0,2.5/3,1,-1,2
150,2018-06-08,葡萄牙,阿尔及,友谊赛,-1.75,1.25,5.45,13.21,2.5,3,0,2,2.5,3,3,9
151,2018-05-29,葡萄牙,突尼斯,友谊赛,-1.0,1.43,4.03,8.13,2.25,2,2,1,2/2.5,4,0,8
152,2018-03-27,葡萄牙,荷  兰,友谊赛,-0.5,1.96,3.35,3.9,2.25,0,3,0,2/2.5,3,-3,12
153,2018-03-24,葡萄牙,埃  及,友谊赛,-1.0,1.48,3.91,7.24,2.25,2,1,2,2/2.5,3,1,5
154,2017-11-15,葡萄牙,美  国,友谊赛,-1.25,1.34,4.73,8.63,2.5,1,1,1,2.5,2,0,3
155,2017-11-11,葡萄牙,沙  特,友谊赛,-2.0,1.15,6.93,16.44,2.75,3,0,2,2.5/3,3,3,9
156,2017-10-11,葡萄牙,瑞  士,世外欧洲,-0.75,1.61,3.84,5.65,2.5,2,0,2,2.5,2,2,4
157,2017-09-01,葡萄牙,法  罗,世外欧洲,-4.0,1.02,21.18,56.6,4.5,5,1,2,4.5,6,4,25
158,2017-07-02,葡萄牙,墨西哥,联合会杯,-0.25,2.24,3.46,3.09,2.75,1,1,1,2.5/3,2,0,3
159,2017-06-29,葡萄牙,智  利,联合会杯,-0.25,2.41,3.09,3.11,2.25,0,0,1,2/2.5,0,0,0
160,2017-06-18,葡萄牙,墨西哥,联合会杯,-0.5,2.0,3.27,3.92,2.25,2,2,1,2/2.5,4,0,8
161,2017-06-03,葡萄牙,塞浦路,友谊赛,-2.0,1.13,7.39,19.28,3.0,4,0,2,3,4,4,16
162,2017-03-29,葡萄牙,瑞  典,友谊赛,-1.0,1.49,3.95,6.87,2.25,2,3,0,2/2.5,5,-1,14
163,2017-03-26,葡萄牙,匈牙利,世外欧洲,-1.5,1.25,5.62,12.12,2.5,3,0,2,2.5,3,3,9
164,2016-11-14,葡萄牙,拉脱维,世外欧洲,-3.0,1.05,13.58,40.35,3.75,4,1,2,3.5/4,5,3,17
165,2016-10-08,葡萄牙,安道尔,世外欧洲,-4.25,1.01,24.04,66.78,4.75,6,0,2,4.5/5,6,6,25
166,2016-09-02,葡萄牙,直布罗,友谊赛,-5.5,1.01,24.17,67.85,6.0,5,0,2,6,5,5,25
167,2016-07-07,葡萄牙,威尔士,欧洲杯,-0.5,2.13,3.08,3.99,2.0,2,0,2,2,2,2,4
168,2016-06-19,葡萄牙,奥地利,欧洲杯,-0.75,1.79,3.55,4.98,2.25,0,0,1,2/2.5,0,0,0
169,2016-06-15,葡萄牙,冰  岛,欧洲杯,-1.25,1.46,4.23,8.31,2.25,1,1,1,2/2.5,2,0,3
170,2016-06-09,葡萄牙,爱沙尼,友谊赛,-2.0,1.14,7.09,18.02,2.75,7,0,2,2.5/3,7,7,25
171,2016-05-30,葡萄牙,挪  威,友谊赛,-1.0,1.55,3.72,6.42,2.25,3,0,2,2/2.5,3,3,9
172,2016-03-30,葡萄牙,比利时,友谊赛,-0.5,2.12,3.21,3.62,2.25,2,1,2,2/2.5,3,1,5
173,2016-03-26,葡萄牙,保加利,友谊赛,-1.5,1.29,4.87,11.02,2.25,0,1,0,2/2.5,1,-1,2
174,2015-10-09,葡萄牙,丹  麦,欧洲杯,-0.5,1.69,3.53,5.26,2.25,1,0,2,2/2.5,1,1,1
175,2015-09-05,葡萄牙,法 国,友谊赛,0.0,2.77,3.08,2.56,2.25,0,1,0,2/2.5,1,-1,2
176,2015-06-17,葡萄牙,意大利,友谊赛,0.25,3.06,3.08,2.35,2.25,1,0,2,2/2.5,1,1,1
177,2015-04-01,葡萄牙,佛得角,友谊赛,-1.5,1.3,5.03,8.86,2.75,0,2,0,2.5/3,2,-2,6
178,2015-03-30,葡萄牙,塞尔维,欧洲杯,-1.0,1.54,3.79,6.3,2.0,2,1,2,2,3,1,5
